mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.6419055461883545,0.009060835974631205,0.16165701548258463,0.0111902864636261,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7983193277310925,0.7426160337552743,0.8143459915611815,0.7850937843491828,0.03074066752711993,16
1.1704726219177246,0.07222466432443146,0.18077715237935385,0.007375893879501067,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7941176470588235,0.7426160337552743,0.8016877637130801,0.7794738148423926,0.026244982841668586,17
1.6183191935221355,0.09656012859554539,0.2835853099822998,0.08815081922140197,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7983193277310925,0.7426160337552743,0.7848101265822784,0.7752484960228818,0.023724569882365938,18
2.6772990226745605,0.42227593960487897,0.4244445164998372,0.12264899522219339,2,400,"{'clf__max_depth': 2, 'clf__n_estimators': 400}",0.7983193277310925,0.7426160337552743,0.7805907172995781,0.7738420262619816,0.02323607630359605,19
3.9615294138590493,0.09297899066821777,0.43806783358256024,0.10795351850630963,2,500,"{'clf__max_depth': 2, 'clf__n_estimators': 500}",0.7941176470588235,0.7426160337552743,0.7805907172995781,0.772441466037892,0.02180079150415795,20
0.976513942082723,0.03663109812119663,0.20826037724812826,0.060053225838238786,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8151260504201681,0.7763713080168776,0.8312236286919831,0.8075736623763429,0.023021340747728485,11
1.0902312596638997,0.06784341068217449,0.3119162718454997,0.1353676545669676,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8151260504201681,0.7763713080168776,0.8312236286919831,0.8075736623763429,0.023021340747728485,11
1.930861473083496,0.12099507457152715,0.39189624786376953,0.11856104352499358,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.8109243697478992,0.7763713080168776,0.8227848101265823,0.8033601626304531,0.019688680614481827,15
2.5616465409596763,0.2878471103054442,0.4231228828430176,0.18920290390293612,3,400,"{'clf__max_depth': 3, 'clf__n_estimators': 400}",0.819327731092437,0.7763713080168776,0.8227848101265823,0.8061612830786323,0.021111920953133835,14
3.418962558110555,0.24179407688733026,0.5048519770304362,0.18076399826357128,3,500,"{'clf__max_depth': 3, 'clf__n_estimators': 500}",0.8151260504201681,0.7763713080168776,0.8270042194092827,0.8061671926154429,0.021619725235561344,13
0.7393151124318441,0.042241573161643384,0.1504511833190918,0.012364086553743428,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.8277310924369747,0.7805907172995781,0.8227848101265823,0.8103688732877118,0.021152940815463303,9
1.8654735088348389,0.27846759681599276,0.3289637565612793,0.2143919441397658,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.8319327731092437,0.7763713080168776,0.8227848101265823,0.8103629637509012,0.024324141661297757,10
2.5826950073242188,0.07516441693050521,0.29954735438028973,0.0074549472787577235,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.8319327731092437,0.7805907172995781,0.8270042194092827,0.8131759032727016,0.02312889129884425,8
3.151295026143392,0.05853559118610226,0.6390320460001627,0.36743479177743066,4,400,"{'clf__max_depth': 4, 'clf__n_estimators': 400}",0.8361344537815126,0.7805907172995781,0.8270042194092827,0.8145764634967912,0.024318902159417732,7
2.831222931543986,0.6321434780684818,0.3750353654225667,0.10313208881826584,4,500,"{'clf__max_depth': 4, 'clf__n_estimators': 500}",0.8361344537815126,0.7805907172995781,0.8312236286919831,0.8159829332576912,0.02510625106202676,6
0.6141623655954996,0.09298147303251081,0.1598033905029297,0.01786084721805671,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8319327731092437,0.7974683544303798,0.8270042194092827,0.8188017823163021,0.015218607457456703,1
1.4219593207041423,0.2516616387030805,0.5555675029754639,0.2510579064122095,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.8277310924369747,0.7932489451476793,0.8270042194092827,0.8159947523313122,0.01608645174105325,5
1.6730353832244873,0.2018742040224161,0.1925818920135498,0.002632841957641474,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.8319327731092437,0.7932489451476793,0.8270042194092827,0.8173953125554019,0.017192206657570104,2
1.8055774370829265,0.10955226689023381,0.29559675852457684,0.026061358402194694,5,400,"{'clf__max_depth': 5, 'clf__n_estimators': 400}",0.8361344537815126,0.7932489451476793,0.8227848101265823,0.8173894030185914,0.017918789506946194,3
2.294308582941691,0.1619050753105995,0.2530817985534668,0.04644283949516425,5,500,"{'clf__max_depth': 5, 'clf__n_estimators': 500}",0.8361344537815126,0.7932489451476793,0.8227848101265823,0.8173894030185914,0.017918789506946194,3
